"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":1516},{""page_index"":1,""viewing_time"":1063},{""page_index"":2,""viewing_time"":5296},{""page_index"":3,""viewing_time"":2152}]","10028","instructions","0","10028","0.0-0.0","","","",""
"","5144","html","1","16412","0.0-1.0","src/external_html/simple_consent.html","","",""
"","11493","survey-text","2","28909","0.0-2.0","","{""Q0"":""23"",""Q1"":""3"",""Q2"":""Cognitive Science""}","",""
"","3440","survey-multi-choice","3","33364","0.0-3.0","","{""Q0"":""Male"",""Q1"":""Asian""}","",""
"","7516","survey-multi-choice","4","41883","0.0-4.0","","{""Q0"":""No""}","",""
"","12150","survey-text","5","55036","0.0-5.0","","{""Q0"":""N/A"",""Q1"":""N/A""}","",""
"","1358","survey-multi-choice","6","57396","0.0-6.0","","{""Q0"":""Yes""}","",""
"","9141","survey-multi-choice","7","67540","0.0-7.0","","{""Q0"":""Yesterday Afternoon""}","",""
"","4315","survey-multi-choice","8","72860","0.0-8.0","","{""Q0"":""4-6 Hours""}","",""
"","3813","survey-likert","9","77676","0.0-9.0","","{""Q0"":""4""}","",""
"","6276","survey-likert","10","84955","0.0-10.0","","{""Q0"":""4""}","",""
"","4999","survey-likert","11","90956","0.0-11.0","","{""Q0"":""3""}","",""
"","3749","survey-likert","12","95707","0.0-12.0","","{""Q0"":""3""}","",""
"[{""page_index"":0,""viewing_time"":1486},{""page_index"":1,""viewing_time"":20889},{""page_index"":2,""viewing_time"":2248},{""page_index"":3,""viewing_time"":4615},{""page_index"":4,""viewing_time"":7136}]","36374","instructions","13","133083","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":31311},{""page_index"":1,""viewing_time"":2719},{""page_index"":0,""viewing_time"":15722},{""page_index"":1,""viewing_time"":1015}]","50767","instructions","14","184853","0.0-14.0","","","",""
"","5606","survey-likert","15","191461","0.0-15.0","","{""Q0"":""2""}","",""
"","5101","survey-likert","16","197565","0.0-16.0","","{""Q0"":""3""}","",""
"","2966","survey-likert","17","201532","0.0-17.0","","{""Q0"":""3""}","",""
"","2430","survey-likert","18","204964","0.0-18.0","","{""Q0"":""3""}","",""
"","8654","survey-likert","19","214621","0.0-19.0","","{""Q0"":""3""}","",""
"","2254","survey-likert","20","217877","0.0-20.0","","{""Q0"":""2""}","",""
"","8667","suitability","21","229550","0.0-21.0","","","76","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":14678},{""page_index"":1,""viewing_time"":1672}]","16350","instructions","22","246901","0.0-22.0","","","",""
"","2518","survey-likert","23","250421","0.0-23.0","","{""Q0"":""2""}","",""
"","1455","survey-likert","24","252878","0.0-24.0","","{""Q0"":""3""}","",""
"","2118","survey-likert","25","255997","0.0-25.0","","{""Q0"":""3""}","",""
"","1646","survey-likert","26","258645","0.0-26.0","","{""Q0"":""3""}","",""
"","3982","survey-likert","27","263630","0.0-27.0","","{""Q0"":""3""}","",""
"","3006","survey-likert","28","267637","0.0-28.0","","{""Q0"":""3""}","",""
"","6277","suitability","29","276918","0.0-29.0","","","75","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
"[{""page_index"":0,""viewing_time"":18445},{""page_index"":1,""viewing_time"":1032}]","19477","instructions","30","297397","0.0-30.0","","","",""
"","6293","survey-likert","31","304693","0.0-31.0","","{""Q0"":""2""}","",""
"","2742","survey-likert","32","308438","0.0-32.0","","{""Q0"":""2""}","",""
"","3086","survey-likert","33","312527","0.0-33.0","","{""Q0"":""2""}","",""
"","1590","survey-likert","34","315119","0.0-34.0","","{""Q0"":""2""}","",""
"","3438","survey-likert","35","319559","0.0-35.0","","{""Q0"":""3""}","",""
"","2845","survey-likert","36","323406","0.0-36.0","","{""Q0"":""2""}","",""
"","1501","suitability","37","327910","0.0-37.0","","","50","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":22246},{""page_index"":1,""viewing_time"":1808}]","24054","instructions","38","352966","0.0-38.0","","","",""
"","3086","survey-likert","39","357055","0.0-39.0","","{""Q0"":""2""}","",""
"","1948","survey-likert","40","360006","0.0-40.0","","{""Q0"":""2""}","",""
"","1686","survey-likert","41","362694","0.0-41.0","","{""Q0"":""3""}","",""
"","1686","survey-likert","42","365383","0.0-42.0","","{""Q0"":""2""}","",""
"","2918","survey-likert","43","369303","0.0-43.0","","{""Q0"":""2""}","",""
"","2422","survey-likert","44","372727","0.0-44.0","","{""Q0"":""2""}","",""
"","2423","suitability","45","378152","0.0-45.0","","","55","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
