"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","url","responses","sim_score","stimulus"
"[{""page_index"":0,""viewing_time"":9751},{""page_index"":1,""viewing_time"":1007},{""page_index"":2,""viewing_time"":1096},{""page_index"":3,""viewing_time"":2424}]","14278","instructions","0","14278","0.0-0.0","","","",""
"","3331","html","1","18831","0.0-1.0","src/external_html/simple_consent.html","","",""
"","10763","survey-text","2","30600","0.0-2.0","","{""Q0"":""21"",""Q1"":""3"",""Q2"":""Psychobiology""}","",""
"","3680","survey-multi-choice","3","35288","0.0-3.0","","{""Q0"":""Female"",""Q1"":""Asian""}","",""
"","1868","survey-multi-choice","4","38158","0.0-4.0","","{""Q0"":""Yes""}","",""
"","18036","survey-text","5","57198","0.0-5.0","","{""Q0"":""11.00"",""Q1"":""6""}","",""
"","5534","survey-multi-choice","6","63734","0.0-6.0","","{""Q0"":""Yes""}","",""
"","20804","survey-multi-choice","7","85542","0.0-7.0","","{""Q0"":""I haven't consumed caffeine in the last 48 hours.""}","",""
"","7725","survey-multi-choice","8","94271","0.0-8.0","","{""Q0"":""4-6 Hours""}","",""
"","4846","survey-likert","9","100119","0.0-9.0","","{""Q0"":""4""}","",""
"","3596","survey-likert","10","104718","0.0-10.0","","{""Q0"":""5""}","",""
"","8078","survey-likert","11","113798","0.0-11.0","","{""Q0"":""4""}","",""
"","4071","survey-likert","12","118870","0.0-12.0","","{""Q0"":""3""}","",""
"[{""page_index"":0,""viewing_time"":1127},{""page_index"":1,""viewing_time"":23400},{""page_index"":2,""viewing_time"":1727},{""page_index"":3,""viewing_time"":2977},{""page_index"":2,""viewing_time"":1023},{""page_index"":1,""viewing_time"":6873},{""page_index"":2,""viewing_time"":1015},{""page_index"":3,""viewing_time"":1320},{""page_index"":4,""viewing_time"":1848}]","41311","instructions","13","161182","0.0-13.0","","","",""
"[{""page_index"":0,""viewing_time"":32999},{""page_index"":1,""viewing_time"":1511}]","34511","instructions","14","196694","0.0-14.0","","","",""
"","4469","survey-likert","15","202166","0.0-15.0","","{""Q0"":""3""}","",""
"","4567","survey-likert","16","207734","0.0-16.0","","{""Q0"":""3""}","",""
"","2437","survey-likert","17","211174","0.0-17.0","","{""Q0"":""4""}","",""
"","2261","survey-likert","18","214438","0.0-18.0","","{""Q0"":""4""}","",""
"","2215","survey-likert","19","217654","0.0-19.0","","{""Q0"":""4""}","",""
"","10487","survey-likert","20","229142","0.0-20.0","","{""Q0"":""3""}","",""
"","8565","suitability","21","240711","0.0-21.0","","","87","[""src/resumes/stimuli/OW_F_JillCarter.jpg"",""src/resumes/stimuli/OW_F_JillCarter.jpg""]"
"[{""page_index"":0,""viewing_time"":34188},{""page_index"":1,""viewing_time"":1473}]","35661","instructions","22","277373","0.0-22.0","","","",""
"","3637","survey-likert","23","282013","0.0-23.0","","{""Q0"":""4""}","",""
"","8895","survey-likert","24","291910","0.0-24.0","","{""Q0"":""3""}","",""
"","2327","survey-likert","25","295237","0.0-25.0","","{""Q0"":""4""}","",""
"","5381","survey-likert","26","301621","0.0-26.0","","{""Q0"":""4""}","",""
"","3606","survey-likert","27","306229","0.0-27.0","","{""Q0"":""4""}","",""
"","2757","survey-likert","28","309989","0.0-28.0","","{""Q0"":""4""}","",""
"","3542","suitability","29","316534","0.0-29.0","","","92","[""src/resumes/stimuli/NW_M_JohnCurtis.jpg"",""src/resumes/stimuli/NW_M_JohnCurtis.jpg""]"
"[{""page_index"":0,""viewing_time"":40869},{""page_index"":1,""viewing_time"":1137}]","42006","instructions","30","359541","0.0-30.0","","","",""
"","6558","survey-likert","31","367100","0.0-31.0","","{""Q0"":""3""}","",""
"","3527","survey-likert","32","371629","0.0-32.0","","{""Q0"":""3""}","",""
"","3390","survey-likert","33","376021","0.0-33.0","","{""Q0"":""4""}","",""
"","4608","survey-likert","34","381629","0.0-34.0","","{""Q0"":""4""}","",""
"","2494","survey-likert","35","385125","0.0-35.0","","{""Q0"":""4""}","",""
"","3022","survey-likert","36","389148","0.0-36.0","","{""Q0"":""3""}","",""
"","3764","suitability","37","395917","0.0-37.0","","","92","[""src/resumes/stimuli/OW_M_JakeCooper.jpg"",""src/resumes/stimuli/OW_M_JakeCooper.jpg""]"
"[{""page_index"":0,""viewing_time"":35725},{""page_index"":1,""viewing_time"":1336}]","37061","instructions","38","433979","0.0-38.0","","","",""
"","14117","survey-likert","39","449099","0.0-39.0","","{""Q0"":""4""}","",""
"","2783","survey-likert","40","452884","0.0-40.0","","{""Q0"":""4""}","",""
"","3724","survey-likert","41","457611","0.0-41.0","","{""Q0"":""3""}","",""
"","3141","survey-likert","42","461754","0.0-42.0","","{""Q0"":""4""}","",""
"","2382","survey-likert","43","465139","0.0-43.0","","{""Q0"":""4""}","",""
"","2039","survey-likert","44","468180","0.0-44.0","","{""Q0"":""4""}","",""
"","3716","suitability","45","474899","0.0-45.0","","","92","[""src/resumes/stimuli/NW_F_JaneConner.jpg"",""src/resumes/stimuli/NW_F_JaneConner.jpg""]"
